company,old,title,link,salary,netgross,city
SEB,prieš 21 val.,MS SQL Solution Developer in Accounting Tribe at SEB in Vilnius,https://www.cvbankas.lt/ms-sql-solution-developer-in-accounting-tribe-at-seb-in-vilnius-vilniuje/1-8838814,2300-3500,Neatskaičius mokesčių,Vilniuje
SEB,prieš 21 val.,Hardware Services Engineer at Digital Workplace at SEB in Vilnius,https://www.cvbankas.lt/hardware-services-engineer-at-digital-workplace-at-seb-in-vilnius-vilniuje/1-8838586,2000-3000,Neatskaičius mokesčių,Vilniuje
SEB,prieš 21 val.,.NET Solution Developer in Finance Domain at SEB in Vilnius,https://www.cvbankas.lt/net-solution-developer-in-finance-domain-at-seb-in-vilnius-vilniuje/1-8838858,2300-3500,Neatskaičius mokesčių,Vilniuje
UAB „KRISTIANA“,prieš 1 d.,IT technikos specialistas (-ė),https://www.cvbankas.lt/it-technikos-specialistas-e-vilniuje/1-9093883,2300-2900,Neatskaičius mokesčių,Vilniuje
UAB „BALTIC VIRTUAL ASSISTANTS“,prieš 1 d.,Data Entry Specialist,https://www.cvbankas.lt/data-entry-specialist-vilniuje/1-8955990,1275,Neatskaičius mokesčių,Vilniuje
UAB „NFQ Technologies“,prieš 1 d.,Project Manager,https://www.cvbankas.lt/project-manager-kaune/1-8327141,2900-3900,Neatskaičius mokesčių,Kaune
Nord Security,prieš 1 d.,Market Researcher,https://www.cvbankas.lt/market-researcher-vilniuje/1-9095321,2800-3450,Neatskaičius mokesčių,Vilniuje
Ignitis grupė,prieš 1 d.,PRAKTIKANTAS (-Ė) DUOMENŲ TINKLŲ (ANGL. NETWORK) SKYRIUJE,https://www.cvbankas.lt/praktikantas-e-duomenu-tinklu-angl-network-skyriuje-vilniuje/1-9095153,,,Vilniuje
UAB „Biuro“,prieš 1 d.,DATA ANALYST,https://www.cvbankas.lt/data-analyst-vilniuje/1-9095045,1241-1355,Į rankas,Vilniuje
UAB „Cognizant Technology Solutions Lithuania“,prieš 1 d.,Business Forecast Modeler,https://www.cvbankas.lt/business-forecast-modeler-vilniuje/1-9095027,2120-4100,Neatskaičius mokesčių,Vilniuje
